"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"147","E0","2022-12-26","Brentford","Tottenham",2,2,"D",1,0,"H",4,3.89,1.93,"1-0","2-2",9,5,16,8,3,1,0,0,6,5,11,10,4,11,21,"6-5","Y","Y","Y",4,0,"Brentford-Tottenham",205,4,0,40,300,160,440,0,44,0,0,2255,1760
"157","E0","2022-12-30","West Ham","Brentford",0,2,"A",0,2,"A",2.08,3.66,3.73,"0-2","0-2",20,5,9,6,1,0,0,0,8,1,9,5,2,9,14,"8-1","Y","N","N",1,0,"West Ham-Brentford",61,2,27,10,0,20,90,270,18,54,243,549,180
"167","E0","2023-01-02","Brentford","Liverpool",3,1,"H",2,0,"H",5.76,4.56,1.58,"2-0","3-1",10,7,16,6,1,3,0,0,4,9,5,8,4,13,13,"4-9","Y","Y","Y",4,0,"Brentford-Liverpool",195,4,50,40,300,160,520,2000,52,200,650,2535,2080
"184","E0","2023-01-14","Brentford","Bournemouth",2,0,"H",1,0,"H",1.69,4.14,5.23,"1-0","2-0",12,4,7,2,1,1,0,0,5,3,5,9,2,8,14,"5-3","Y","N","N",2,0,"Brentford-Bournemouth",114,2,25,20,100,40,160,500,16,50,200,912,320
"196","E0","2023-01-22","Leeds","Brentford",0,0,"D",0,0,"D",2.39,3.72,2.99,"0-0","0-0",9,5,6,0,2,2,0,0,2,3,10,18,0,5,28,"2-3","N","N","N",4,0,"Leeds-Brentford",0,0,0,40,400,0,200,0,0,0,0,0,0
"203","E0","2023-02-04","Brentford","Southampton",3,0,"H",2,0,"H",1.92,3.68,4.36,"2-0","3-0",14,4,14,6,1,2,0,0,4,4,10,9,3,8,19,"4-4","Y","Y","N",3,0,"Brentford-Southampton",165,3,43,30,200,90,240,1290,24,129,344,1320,720
"212","E0","2023-02-11","Arsenal","Brentford",1,1,"D",0,0,"D",1.47,4.77,7.32,"0-0","1-1",23,7,9,2,0,2,0,0,7,4,9,9,2,11,18,"7-4","Y","N","N",2,0,"Arsenal-Brentford",140,2,36,20,0,40,220,720,22,72,396,1540,440
"223","E0","2023-02-18","Brentford","Crystal Palace",1,1,"D",0,0,"D",1.85,3.62,4.84,"0-0","1-1",12,5,10,4,2,2,0,0,2,6,10,8,2,8,18,"2-6","Y","N","N",4,0,"Brentford-Crystal Palace",159,2,37,40,400,80,320,1480,16,74,296,1272,640
"150","E0","2022-12-26","Leicester","Newcastle",0,3,"A",0,3,"A",3.36,3.64,2.22,"0-3","0-3",8,2,12,5,0,0,0,0,5,5,9,6,3,10,15,"5-5","Y","Y","N",0,0,"Leicester-Newcastle",42,3,51,0,0,0,0,0,30,153,510,420,0
"163","E0","2022-12-31","Newcastle","Leeds",0,0,"D",0,0,"D",1.49,4.8,6.8,"0-0","0-0",16,5,8,1,3,5,0,0,9,3,13,19,0,12,32,"9-3","N","N","N",8,0,"Newcastle-Leeds",0,0,0,80,1500,0,960,0,0,0,0,0,0
"168","E0","2023-01-03","Arsenal","Newcastle",0,0,"D",0,0,"D",1.83,3.95,4.45,"0-0","0-0",17,4,8,1,4,4,0,0,5,5,10,16,0,10,26,"5-5","N","N","N",8,0,"Arsenal-Newcastle",0,0,0,80,1600,0,800,0,0,0,0,0,0
"186","E0","2023-01-15","Newcastle","Fulham",1,0,"H",0,0,"D",1.53,4.55,6.52,"0-0","1-0",20,5,5,0,1,3,0,0,10,5,6,14,1,15,20,"10-5","N","N","N",4,0,"Newcastle-Fulham",89,1,14,40,300,40,600,560,15,14,210,1335,600
"195","E0","2023-01-21","Crystal Palace","Newcastle",0,0,"D",0,0,"D",4.52,3.57,1.92,"0-0","0-0",6,1,16,7,4,2,0,0,3,15,13,7,0,18,20,"3-15","N","N","N",6,0,"Crystal Palace-Newcastle",0,0,0,60,800,0,1080,0,0,0,0,0,0
"207","E0","2023-02-04","Newcastle","West Ham",1,1,"D",1,1,"D",1.63,3.97,6.3,"1-1","1-1",8,2,10,1,2,1,0,0,4,2,11,13,2,6,24,"4-2","Y","N","N",3,0,"Newcastle-West Ham",35,2,20,30,200,60,180,600,12,40,120,210,360
"217","E0","2023-02-11","Bournemouth","Newcastle",1,1,"D",1,1,"D",6.53,4.08,1.6,"1-1","1-1",11,5,15,7,2,3,0,0,4,6,8,10,2,10,18,"4-6","Y","N","N",5,0,"Bournemouth-Newcastle",75,2,49,50,600,100,500,2450,20,98,490,750,1000
"229","E0","2023-02-18","Newcastle","Liverpool",0,2,"A",0,2,"A",2.57,3.58,2.82,"0-2","0-2",14,4,13,7,1,1,1,0,6,7,3,8,2,13,11,"6-7","Y","N","N",2,1,"Newcastle-Liverpool",27,2,45,45,350,90,585,2025,26,90,585,351,1170
"17","E0","2023-02-18","Newcastle","Liverpool",0,2,"A",0,2,"A",2.57,3.58,2.82,"0-2","0-2",14,4,13,7,1,1,1,0,6,7,3,8,2,13,11,"6-7","Y","N","N",2,1,"Newcastle-Liverpool",81.6875,1.8125,24.8125,39.0625,440.625,55,430.9375,743.4375,18.4375,60.875,252.75,840.5625,579.375
